LookupCode,AccountName,ActivityCode,Description,WhoOwnerCode,FollowupStartDate,Association,Aging Status
,,GJES,Generate Journal Entries,DUNRO1,1/19/2022,Generate Journal Entries - JE Batch #569,Overdue
1000NOR-01,10000 North Central HOA,REVI,Review coverage limits for REN,FITME1,12/1/2021,Policy - CPKG - PAC2545865-01,Overdue
1000OCE-01,1000 Ocean HOA,CS24,CSR24 Agency Cert: Powerstone Property Management,CADJE1,6/23/2021,Account - 1000 Ocean HOA,Overdue
1000OCE-01,1000 Ocean HOA,REVI,Review coverage limits for REN,CADJE1,4/25/2021,Policy - CPKG - CACM0000001209 - OLD,Overdue
1000OCE-01,1000 Ocean HOA,REVI,Review coverage limits for REN,CADJE1,4/25/2021,LOB - EQKC - ESE18535-00,Overdue
101OCEA-01,101 Ocean Condominium HOA,CLRC,Close/Reopen Claim,FISTI1,9/24/2021,Claim - Jun  9 2021 12:00AM - 9112,Overdue
1031SOU-01,1031 South Pacific Shores Inc.,REQF,Request for Financials - 1031 South Pacific Shores Inc.,GIALE1,11/19/2021,Account - 1031 South Pacific Shores Inc.,Overdue
10TH&DO-01,10th & Donax Owners Association,REVI,Review coverage limits for REN,ARRCA1,8/21/2021,LOB - BOP  - 680-7H418844,Overdue
1100SAC-01,*1100 Sacramento Street HOA Inc,CALU,CR/Excess CR/ WC cancellations here?,ARRCA1,10/17/2021,Account - *1100 Sacramento Street HOA Inc,Overdue
1100SAC-01,*1100 Sacramento Street HOA Inc,CLRC,Close/Reopen Claim,FISTI1,12/17/2021,Claim - Sep 13 2020 12:00AM - 10035,Overdue
1100SAC-01,*1100 Sacramento Street HOA Inc,CLRC,Close/Reopen Claim,FISTI1,12/27/2021,Claim - May 24 2021 12:00AM - 8995,Overdue
1100SAC-01,*1100 Sacramento Street HOA Inc,CLRC,Close/Reopen Claim,FISTI1,12/27/2021,Claim - Oct  1 2019 12:00AM - 10034,Overdue
1125SOU-01,1125 South Cleveland Street HOA,RENR,Renewal of Directors & Officers Liability effective 2/1/2021,CADJE1,2/5/2021,Policy - DOLI - EPPE293321-02,Overdue
1134ALT-02,1134 Alta Loma HOA,RNWL,Renewal of  effective,ROBJO1,1/1/2022,Account - 1134 Alta Loma HOA,Overdue
1200CLA-01,1200 Clayton Street Homeowners Association,ADOP,Add Opportunity,MILZA1,4/24/2021,Opportunities,Overdue
1215MOO-01,12157 Moorpark HOA,RNWL,Renewal of  effective,ROBJO1,1/15/2022,Account - 12157 Moorpark HOA,Overdue
1222AND-01,12223 AND 12225 Gorham Inc.,ADOP,Add Opportunity,TAHNI1,3/27/2021,Opportunities,Overdue
1240COR-01,1240 Corning Villas OA,APOL,Added DOLI policy effective 1/1/2021,MILZA1,12/20/2020,Policy - DOLI - PCAP026913-0121,Overdue
1240COR-01,1240 Corning Villas OA,APOL,Added CPKG policy effective 1/1/2021,MILZA1,12/20/2020,Policy - CPKG - CBP2120003-00,Overdue
1240COR-01,1240 Corning Villas OA,APOL,Added CRIM policy effective 1/1/2021,MILZA1,12/20/2020,Policy - CRIM - 4121011295484Y,Overdue
1240COR-01,1240 Corning Villas OA,APOL,Added CUMB policy effective 1/1/2021,MILZA1,12/20/2020,Policy - CUMB - USL00656920U-61215-1,Overdue
1240COR-01,1240 Corning Villas OA,APOL,Added WCOM policy effective 1/1/2021,MILZA1,12/25/2020,Policy - WCOM - 2021011295484Y   ,Overdue
1240COR-01,1240 Corning Villas OA,REVI,Renewed evidence of insurance,CADJE1,11/1/2021,Account - 1240 Corning Villas OA,Overdue
1244THI-01,1244 Third HOA Inc.,*BRN,Change Branch for Account,DISDA1,1/7/2022,Account - 1244 Third HOA Inc.,Overdue
1244THI-01,1244 Third HOA Inc.,REVI,Review coverage limits for REN,DESKA1,12/20/2021,Account - 1244 Third HOA Inc.,Overdue
1250CAV-01,1250 Cave Street HOA,REVI,Review coverage limits for REN,AHELE1,11/21/2021,LOB - BOP  - 680-6C877237,Overdue
12ONPOL-01,12 on Polk HOA,DCAN,Policy cancellation downloaded,CADJE1,2/12/2021,Policy - CPKG - 6809242L1332142,Overdue
1304BER-01,1304 Berkeley Street HOA,REQF,Request for Financials - 1304 Berkeley Street HOA,GIALE1,12/15/2021,Account - 1304 Berkeley Street HOA,Overdue
1351HAV-01,1351 Havenhurst HOA,RNWL,Renewal of  effective,ROBJO1,12/1/2021,Account - 1351 Havenhurst HOA,Overdue
140DIVI-01,140 Divisadero Street HOA,APOL,Added CPKG policy effective 7/1/2020,CANCR1,4/15/2021,Policy - CPKG - 680-8710X956,Overdue
140DIVI-01,140 Divisadero Street HOA,CS24,CSR24 Agency Cert: 140 Divisadero Street,CADJE1,6/17/2021,Account - 140 Divisadero Street HOA,Overdue
141111T-01,1444 11th Street,@ADC,Address Applied to Other Items,TAHNI1,3/17/2021,Account - 1444 11th Street,Overdue
141111T-01,1444 11th Street,APOL,Added CPKG policy effective 3/30/2021,TAHNI1,3/22/2021,Policy - CPKG - SNI0005273-00,Overdue
141111T-01,1444 11th Street,APOL,Added DOLI policy effective 3/30/2021,TAHNI1,3/22/2021,Policy - DOLI - PCAP028185-0121,Overdue
141111T-01,1444 11th Street,APOL,Added CUMB policy effective 3/30/2021,TAHNI1,3/22/2021,Policy - CUMB - USL00656920U-62920-1,Overdue
